STATE/UT,DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,101,60,50,0,50,30,9,41,78,16,104,149,34,0,4154
ANDHRA PRADESH,ANANTAPUR,151,125,23,0,23,30,8,16,168,11,65,118,24,0,4125
ANDHRA PRADESH,CHITTOOR,101,57,27,0,27,34,4,14,156,33,209,112,83,0,5818
ANDHRA PRADESH,CUDDAPAH,80,53,20,0,20,20,1,4,164,12,37,126,38,0,3140
ANDHRA PRADESH,EAST GODAVARI,82,67,23,0,23,26,4,25,70,50,220,109,58,0,6507
ANDHRA PRADESH,GUNTAKAL RLY.,3,1,0,0,0,0,5,2,1,0,0,1,0,0,287
ANDHRA PRADESH,GUNTUR,182,88,54,0,54,51,16,59,244,67,300,139,129,0,7848
ANDHRA PRADESH,HYDERABAD CITY,111,113,37,0,37,39,13,67,65,101,1293,118,27,0,11831
ANDHRA PRADESH,KARIMNAGAR,162,85,56,0,56,49,27,50,220,25,243,414,81,0,5811
ANDHRA PRADESH,KHAMMAM,93,60,47,0,47,30,1,13,153,35,130,180,336,0,4582
ANDHRA PRADESH,KRISHNA,65,51,37,0,37,21,3,15,70,24,104,208,72,0,4779
ANDHRA PRADESH,KURNOOL,133,72,29,0,29,47,6,22,84,6,126,141,107,0,4581
ANDHRA PRADESH,MAHABOOBNAGAR,157,67,59,0,59,27,8,27,157,22,84,176,41,0,4819
ANDHRA PRADESH,MEDAK,101,56,35,0,35,20,27,26,100,17,87,100,25,0,3532
ANDHRA PRADESH,NALGONDA,122,60,35,0,35,19,6,28,220,13,122,188,59,0,5002
ANDHRA PRADESH,NELLORE,89,69,46,0,46,80,12,16,97,20,177,207,228,0,5245
ANDHRA PRADESH,NIZAMABAD,106,49,21,0,21,21,7,22,51,61,122,55,15,0,3621
ANDHRA PRADESH,PRAKASHAM,102,82,19,0,19,12,15,14,138,16,88,140,100,0,3678
ANDHRA PRADESH,RANGA REDDY,214,95,72,0,72,83,24,78,65,67,527,113,55,7,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,6,0,0,0,0,0,0,10,1,2,4,0,1,0,439
ANDHRA PRADESH,SRIKAKULAM,38,10,8,0,8,12,1,4,70,18,53,38,47,0,2572
ANDHRA PRADESH,VIJAYAWADA,53,44,25,0,25,48,3,27,19,34,614,84,122,0,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2,1,1,0,1,0,0,1,1,2,3,1,1,0,320
ANDHRA PRADESH,VISAKHA RURAL,58,29,12,0,12,12,4,3,138,19,39,67,48,0,3183
ANDHRA PRADESH,VISAKHAPATNAM,22,10,13,0,13,6,1,5,9,37,192,33,462,0,3422
ANDHRA PRADESH,VIZIANAGARAM,33,14,8,0,8,2,0,2,36,11,41,40,22,0,2178
ANDHRA PRADESH,WARANGAL,158,79,53,0,53,25,2,23,330,6,137,241,0,0,6319
ANDHRA PRADESH,WEST GODAVARI,77,58,61,0,61,21,7,15,96,63,270,246,56,0,5696
ANDHRA PRADESH,TOTAL,2602,1555,871,0,871,765,214,629,3001,788,5391,3544,2271,7,130089
ARUNACHAL PRADESH,CHANGLANG,11,2,1,0,1,2,3,4,0,4,3,3,0,0,163
ARUNACHAL PRADESH,DIBANG VALLEY,3,5,2,0,2,4,2,5,0,3,0,4,0,0,139
ARUNACHAL PRADESH,KAMENG EAST,3,1,2,0,2,5,1,6,0,1,1,5,0,0,126
ARUNACHAL PRADESH,KAMENG WEST,4,2,0,0,0,2,1,0,0,1,4,0,0,0,103
ARUNACHAL PRADESH,LOHIT,16,6,2,0,2,6,2,8,3,5,2,8,0,0,190
ARUNACHAL PRADESH,PAPUM PARE,11,8,9,0,9,5,4,29,9,12,8,6,0,0,498
ARUNACHAL PRADESH,SIANG EAST,7,0,5,0,5,7,4,8,1,4,4,7,0,0,243
ARUNACHAL PRADESH,SIANG UPPER,1,1,2,0,2,5,0,0,1,1,0,3,0,0,56
ARUNACHAL PRADESH,SIANG WEST,5,14,4,0,4,10,1,10,2,5,5,25,2,0,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,8,10,2,0,2,5,1,7,5,3,2,4,0,0,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,4,0,2,0,2,1,3,5,2,2,0,8,0,0,140
ARUNACHAL PRADESH,TAWANG,2,0,1,0,1,0,0,0,0,0,1,5,1,0,48
